game_id,player_id,player_club_id,player_name
2224732,62680,5817,"Lasse Vibe"
2224732,83882,5817,"Quincy Antipas"
2245041,13121,964,"Bruno Alves"
2245041,15117,964,"Konstantin Zyryanov"
2245041,15368,964,"Vyacheslav Malafeev"
2245041,15373,964,"Sergey Semak"
2245041,15381,964,"Aleksandr Kerzhakov"
2245041,15647,964,"Vladimir Bystrov"
2245041,15650,964,"Igor Denisov"
2245041,15872,2698,"Roman Sharonov"
2245041,19712,964,"Aleksandar Lukovic"
2245041,2050,2698,"Nelson Valdez"
2245041,20587,964,"Nicolas Lombaerts"
2245041,25035,2698,"Sergey Ryzhikov"
2245041,25856,2698,"Vitaliy Kaleshin"
2245041,29056,2698,"CÃ©sar Navas"
2245041,38799,2698,"Oleg Kuzmin"
2245041,40254,964,"Viktor Faizulin"
2245041,42678,2698,"Salvatore Bocchetti"
2245041,44136,964,"Domenico Criscito"
2245041,44367,2698,"Roman Eremenko"
2245041,45491,964,"Aleksandr Bukharov"
2245041,48550,964,"Roman Shirokov"
2245041,55854,2698,"Cristian Ansaldi"
2245041,56637,2698,"Vladimir Dyadyun"
2245041,57723,2698,"IvÃ¡n Marcano"
2245041,5794,2698,"Obafemi Martins"
2245041,63252,964,"Tomas Hubocan"
2245041,6871,2698,"GÃ¶kdeniz Karadeniz"
2245041,7252,2698,"Aleksandr Ryazantsev"
2222957,121026,2227,"Yuriy Putrash"
2222957,13113,2227,"Marco NÃ©"
2222957,140561,339,"Michael Odibe"
2222957,15067,2227,"Maksym Kalynychenko"
2222957,18091,339,"Derek Boateng"
2222957,23443,339,"Ondrej Mazuch"
2222957,24008,2227,"RubÃ©n Gomez"
2222957,24043,2227,"Sergiy Nazarenko"
2222957,24049,339,"Ruslan Rotan"
2222957,25823,339,"Vitaliy Denisov"
2222957,28186,339,"Jan Lastuvka"
2222957,39253,2227,"Anton Shynder"
2222957,39792,2227,"Marin Ljubicic"
2222957,42933,2227,"Anis Boussaidi"
2222957,45343,2227,"Oleg Gumenyuk"
2222957,49008,339,"Vitaliy Mandzyuk"
2222957,54375,339,Giuliano
2222957,57895,339,"Denys Oliynyk"
